## 产品完整信息
| 产品名称 | 分类 | 完整标题 | 产品URL | 参数数量 | 概述字数 | 优势字数 | 能力字数 | 应用场景字数 | 产品概述 | 核心优势 | 核心能力 | 应用场景 |
| PT95 | Drones | Take-Off Requirements | No taxiway needed (vertical takeoff capability) |
| PT95 | Drones | Cruising Speed | 110km/h (stable security patrol speed) |
| PT95 | Drones | Maximum Speed | 180km/h (rapid response security missions) |
| PT95 | Drones | Cruising Altitude | &le;3000m |
| PT95 | Drones | Maximum Ceiling | 5000m |
| PT95 | Drones | Wind Resistance | Level 5 (take-off), Level 6 (in flight) |
| PT95 | Drones | Reconnaissance Equipment | Electro-optical pod (situational awareness) |
| PT95 | Drones | Communication System | Data Link (reliable long-range transmission) |
| PT95 | Drones | Control Method | Ground Station (authorized personnel operation) |
| PT95 | Drones | Payload Hardpoints | 2 points |
| PT95 | Drones | Single Hardpoint Payload | 20kg |
| PT95 | Drones | Payload Type | Legitimate Security Response Equipment |
| PT95 | Drones | Maximum Payload | 45kg (legitimate security support equipment) |
| PT95 | Drones | Swarm Coordination Capability | Supported (synchronized security monitoring) |
| PT95 | Drones | Self-protection Function | Autonomous return to base (equipment safety) |
| PT95 | Drones | Propulsion System | Gasoline-powered (high-power for long-endurance missions) |
| PT95 | Drones | Other Features | Long endurance, integrated reconnaissance and security response capability |
| PTF5 | Drones | Weight | 0.6kg |
| PTF5 | Drones | Dimensions | 300mm wingspan, 440mm length |
| PTF5 | Drones | Maximum Take-Off Weight | 1.1kg |
| PTF5 | Drones | Take-Off Method | Vertical Take-Off and Landing (VTOL) |
| PTF5 | Drones | Recovery Method | Remote Manual Landing |
| PTF5 | Drones | Maximum Endurance | 40min (continuous ultra-light logistics operations) |
| PTF5 | Drones | Maximum Range | 60km (short-range transportation) |
| PTF5 | Drones | Maximum Control Distance | 15km (remote controller operation) |
| PTF5 | Drones | Take-Off Requirements | No taxiway needed (VTOL capability) |
| PTF5 | Drones | Cruise Speed | 110km/h (stable transportation) |
| PTF5 | Drones | Maximum Speed | 180km/h (rapid response transportation) |
| PTF5 | Drones | Cruise Altitude | &le;500m |
| PTF5 | Drones | Maximum Ceiling | &gt;500m |
| PTF5 | Drones | Wind Resistance | Level 6 (stable operation in harsh weather) |
| PTF5 | Drones | Reconnaissance Equipment | Camera (for situational awareness &amp; logistics monitoring) |
| PTF5 | Drones | Communication System | Digital/Analog Image Transmission (reliable short-range transmission) |
| PTF5 | Drones | Control Method | Remote Controller (authorized personnel operation) |
| PTF5 | Drones | Payload Capacity | 0.5kg (legitimate ultra-lightweight logistics &amp; support equipment) |
| PTF5 | Drones | Payload Mounting Points | 1 point (0.5kg rated capacity per point) |
| PTF5 | Drones | Return/Safety Function | Remote Return &amp; Safety Recovery Function (enhanced safety) |
| PTF5 | Drones | Propulsion System | Electric-powered (clean energy for ultra-miniature payload) |
| PTF5 | Drones | Other Features | Ultra-Miniature, High Maneuverability Logistics Platform |
| PT300 | Drones | Weight | 7.5kg |
| PT300 | Drones | Dimensions | 1700mm wingspan, 1317mm length |
| PT300 | Drones | Maximum Take-Off Weight | 12.5kg |
| PT300 | Drones | Take-Off Method | Vertical Take-Off and Landing (VTOL) |
| PT300 | Drones | Recovery Method | Autonomous Return-to-Home |
| PT300 | Drones | Maximum Endurance | 30min (continuous situational awareness operations) |
| PT300 | Drones | Maximum Range | 70km (short-range situational awareness) |
| PT300 | Drones | Maximum Control Distance | 30km (ground station control) |
| PT300 | Drones | Take-Off Requirements | No taxiway needed (VTOL capability) |
| PT300 | Drones | Cruise Speed | 100-150km/h (adjustable for stable observation) |
| PT300 | Drones | Maximum Speed | 150km/h (rapid response mobility) |
| PT300 | Drones | Cruise Altitude | &le;2000m |
| PT300 | Drones | Maximum Ceiling | 3000m |
| PT300 | Drones | Wind Resistance | Level 5 (take-off), Level 6 (in flight) |
| PT300 | Drones | Reconnaissance Equipment | Electro-Optical Pod (for situational awareness &amp; monitoring) |
| PT300 | Drones | Communication System | Data Link (reliable medium-range transmission) |
| PT300 | Drones | Control Method | Ground Station (authorized personnel operation) |
| PT300 | Drones | Payload Capacity | 2.5kg (legitimate situational awareness equipment) |
| PT300 | Drones | Payload Mounting Points | 1 point (2.5kg rated capacity per point) |
| PT300 | Drones | Return Function | Autonomous Return-to-Home (enhanced safety) |
| PT300 | Drones | Propulsion System | Electric-powered (clean energy for portable missions) |
| PT300 | Drones | Other Features | Individual Portable, Rapid Deployment Situational Awareness Platform |
| PTM50 (Multi-rotor) | Drones | Weight | 39kg |
| PTM50 (Multi-rotor) | Drones | Dimensions | 2360mm\*2360mm\*1500mm |
| PTM50 (Multi-rotor) | Drones | Maximum Take-Off Weight | 59kg |
| PTM50 (Multi-rotor) | Drones | Take-Off Method | Vertical Take-Off and Landing (VTOL) |
| PTM50 (Multi-rotor) | Drones | Recovery Method | Autonomous Return-to-Home |
| PTM50 (Multi-rotor) | Drones | Maximum Endurance | 170min (continuous heavy-duty logistics operations) |
| PTM50 (Multi-rotor) | Drones | Maximum Range | 120km (long-range transportation) |
| PTM50 (Multi-rotor) | Drones | Maximum Control Distance | 20km (ground station control) |
| PTM50 (Multi-rotor) | Drones | Take-Off Requirements | No taxiway needed (VTOL capability) |
| PTM50 (Multi-rotor) | Drones | Cruise Speed | 43km/h (stable transportation) |
| PTM50 (Multi-rotor) | Drones | Maximum Speed | 54km/h (rapid response transportation) |
| PTM50 (Multi-rotor) | Drones | Cruise Altitude | &le;2000m |
| PTM50 (Multi-rotor) | Drones | Maximum Ceiling | 3200m |
| PTM50 (Multi-rotor) | Drones | Wind Resistance | Level 6 (stable operation in harsh weather) |
| PTM50 (Multi-rotor) | Drones | Communication System | Data Link (reliable medium-range transmission) |
| PTM50 (Multi-rotor) | Drones | Control Method | Ground Station (authorized personnel operation) |
| PTM50 (Multi-rotor) | Drones | Payload Capacity | 20kg (legitimate heavy-duty logistics &amp; support equipment) |
| PTM50 (Multi-rotor) | Drones | Payload Mounting Points | 5 points (4kg rated capacity per point, 20kg total safe load) |
| PTM50 (Multi-rotor) | Drones | Multi-UAV Coordination | Supported (for legitimate logistics/situational awareness tasks) |
| PTM50 (Multi-rotor) | Drones | Return Function | Autonomous Return-to-Home (enhanced safety) |
| PTM50 (Multi-rotor) | Drones | Propulsion System | Gasoline-powered (long endurance for heavy-duty missions) |
| PTM50 (Multi-rotor) | Drones | Other Features | Long-Endurance Multi-rotor, Multi-Payload Mission Platform |
| PT250 | Drones | Weight | 7.5kg |
| PT250 | Drones | Dimensions | 1594mm wingspan, 1020mm length |
| PT250 | Drones | Maximum Take-Off Weight | 10kg |
| PT250 | Drones | Take-Off Method | Pneumatic Catapult Take-Off (no runway required) |
| PT250 | Drones | Recovery Method | Optional Parachute Recovery |
| PT250 | Drones | Maximum Endurance | 40min (continuous micro logistics operations) |
| PT250 | Drones | Maximum Range | 60km (medium-range transportation) |
| PT250 | Drones | Maximum Control Distance | 100km (ground station control) |
| PT250 | Drones | Take-Off Requirements | No taxiway needed (catapult take-off capability) |
